Uber Type,City/Area Name,Market Name,State,Date Entered-Soft,Date Entered-Official,Date Left,Date Entered 2nd,Date Left 2nd,Source 1,Source 2,Source 3,Source 4,Notes
UberX,Olympia,Olympia,WA,,15-Jul-16,,,,http://thurstonchamber.com/uber-visit-olympia-thurston-county-target-zero-team-offer-thurston-county-residents-safe-sober-rides-home/?utm_campaign=shareaholic&utm_medium=facebook&utm_source=socialnetwork,,,,
UberX,Bremerton,Peninsula and SW WA,WA,,30-Sep-15,,,,https://twitter.com/KitsapSun/status/649263171153326080,,,,
UberBlack,Seattle,Seattle,WA,,12-Aug-11,,,,https://newsroom.uber.com/us-washington/you-are-now-free-to-move-about-seattle/,,,,
UberX,Seattle,Seattle,WA,,11-Apr-13,,,,https://newsroom.uber.com/us-washington/seattle-your-uberx-is-arriving-now/,,,,
UberX,Spokane,Spokane,WA,,8-May-14,,,,https://newsroom.uber.com/us-washington/spokane-your-uberx-is-arriving-now-and-its-free/,,,,
UberBlack,Tacoma,Tacoma,WA,,8-Apr-14,,,,https://newsroom.uber.com/us-washington/uberx-rider-zero-rhubarb-the-reindeer/,,,,"It isn't clear that UberBlack became available the same date, but on Internet Archive they both show as available every time we can check"
UberX,Tacoma,Tacoma,WA,,8-Apr-14,,,,https://newsroom.uber.com/us-washington/uberx-rider-zero-rhubarb-the-reindeer/,,,,
UberX,Vancouver,Vancouver,WA,,10-Jul-14,,,,https://newsroom.uber.com/us-washington/vancouver-washington-we-have-arrived/,,,,
UberX,Eau Claire,Eau Clair,WI,,2-Mar-17,,,,https://newsroom.uber.com/us-wisconsin/uber-launches-eau-claire-la-crosse-wausau/,,,,
UberX,Appleton,Green Bay,WI,,10-Sep-15,,,,https://twitter.com/Uber_WI/status/642104262466633728,https://twitter.com/Uber_WI/status/642005360279199744,,,
UberX,Fond Du Lac,Green Bay,WI,,25-Nov-15,,,,https://newsroom.uber.com/us-wisconsin/you-can-now-request-uberx-in-four-new-wisconsin-cities/,,,,
UberX,Green Bay,Green Bay,WI,,16-Oct-14,,,,https://newsroom.uber.com/us-wisconsin/uber-launching-in-green-bay-with-free-rides/,,,,
UberX,Oshkosh,Green Bay,WI,,25-Nov-15,,,,https://newsroom.uber.com/us-wisconsin/you-can-now-request-uberx-in-four-new-wisconsin-cities/,,,,
UberX,Wausau,Green Bay,WI,,2-Mar-17,,,,https://newsroom.uber.com/us-wisconsin/uber-launches-eau-claire-la-crosse-wausau/,,,,
UberX,La Crosse,La Crosse,WI,,2-Mar-17,,,,https://newsroom.uber.com/us-wisconsin/uber-launches-eau-claire-la-crosse-wausau/,,,,
UberX,Beloit,Madison,WI,,25-Nov-15,,,,https://newsroom.uber.com/us-wisconsin/you-can-now-request-uberx-in-four-new-wisconsin-cities/,,,,
UberX,Janesville,Madison,WI,,25-Nov-15,,,,https://newsroom.uber.com/us-wisconsin/you-can-now-request-uberx-in-four-new-wisconsin-cities/,,,,
UberX,Madison,Madison,WI,,6-Mar-14,,,,https://newsroom.uber.com/us-wisconsin/madison-your-uber-has-arrived/,,,,
UberBlack,Milwaukee,Milwaukee,WI,,13-Feb-14,,,,https://newsroom.uber.com/us-wisconsin/uber-rolls-into-brew-city-with-rider-zero-brandon-knight/,,,,
UberX,Milwaukee,Milwaukee,WI,,28-Mar-14,,,,https://newsroom.uber.com/us-wisconsin/uberx-has-arrived-in-mke-in-time-for-opening-day/,,,,
UberX,Racine,Milwaukee,WI,,21-May-15,,,,https://newsroom.uber.com/us-wisconsin/were-rollin-into-a-city-near-you/,,,,
UberX,Charleston,Charleston,WV,,19-Jul-16,,,,http://www.wvgazettemail.com/news-business/20160719/uber-starts-offering-rides-in-wv,,,,
UberX,Huntington,Charleston,WV,,19-Jul-16,,,,http://www.herald-dispatch.com/news/uber-launches-in-west-virginia/article_efe55a45-633e-596b-88fc-7d3a7c54af9e.html,,,,
UberX,Grand Junction,Rockies,CO,,6-Oct-15,,,,http://www.nbc11news.com/home/headlines/Uber-comes-to-the-Grand-Valley--330986692.html,http://www.nbc11news.com/content/news/The-reason-for-the-Uber-shortage-in-the-Grand-Valley-376801531.html,,,Not well identified
UberX,Buffalo,Upstate NY,NY,,29-Jun-17,,,,https://twitter.com/Uber_NY/status/880386619462877184,http://www.newyorkupstate.com/news/2017/06/upstate_nys_long_wait_for_uber_and_lyft_ending_what_you_need_to_know.html,,,
UberX,Rochester,Upstate NY,NY,,29-Jun-17,,,,https://twitter.com/Uber_NY/status/880386619462877184,http://www.newyorkupstate.com/news/2017/06/upstate_nys_long_wait_for_uber_and_lyft_ending_what_you_need_to_know.html,,,
UberX,Albany,Upstate NY,NY,,29-Jun-17,,,,https://twitter.com/Uber_NY/status/880386619462877184,http://www.newyorkupstate.com/news/2017/06/upstate_nys_long_wait_for_uber_and_lyft_ending_what_you_need_to_know.html,,,
UberX,Poughkeepsie,Upstate NY,NY,,29-Jun-17,,,,https://twitter.com/Uber_NY/status/880386619462877184,http://www.newyorkupstate.com/news/2017/06/upstate_nys_long_wait_for_uber_and_lyft_ending_what_you_need_to_know.html,,,
UberX,Syracuse,Upstate NY,NY,,29-Jun-17,,,,https://twitter.com/Uber_NY/status/880386619462877184,http://www.newyorkupstate.com/news/2017/06/upstate_nys_long_wait_for_uber_and_lyft_ending_what_you_need_to_know.html,,,
UberX,Utica,Upstate NY,NY,,29-Jun-17,,,,https://twitter.com/Uber_NY/status/880386619462877184,http://www.newyorkupstate.com/news/2017/06/upstate_nys_long_wait_for_uber_and_lyft_ending_what_you_need_to_know.html,,,
UberX,Binghamton,Upstate NY,NY,,29-Jun-17,,,,https://twitter.com/Uber_NY/status/880386619462877184,http://www.newyorkupstate.com/news/2017/06/upstate_nys_long_wait_for_uber_and_lyft_ending_what_you_need_to_know.html,,,
UberX,Glens Falls,Upstate NY,NY,,29-Jun-17,,,,https://twitter.com/Uber_NY/status/880386619462877184,http://www.newyorkupstate.com/news/2017/06/upstate_nys_long_wait_for_uber_and_lyft_ending_what_you_need_to_know.html,,,
UberX,Ithaca,Upstate NY,NY,,29-Jun-17,,,,https://twitter.com/Uber_NY/status/880386619462877184,http://www.newyorkupstate.com/news/2017/06/upstate_nys_long_wait_for_uber_and_lyft_ending_what_you_need_to_know.html,,,
UberX,Elmira,Upstate NY,NY,,29-Jun-17,,,,https://twitter.com/Uber_NY/status/880386619462877184,http://www.newyorkupstate.com/news/2017/06/upstate_nys_long_wait_for_uber_and_lyft_ending_what_you_need_to_know.html,,,
